date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,weekday
2018-06-26,8.69,8.95,8.83,8.45,1318029.12,-0.01,-0.11,8.73,8.69,8.434,1263650.35,1316826.46,945711.95,1
2018-06-25,9.05,9.09,8.84,8.82,1176977.5,-0.13,-1.45,8.687999999999999,8.631,8.408,1413658.88,1236212.27,896265.02,0
2018-06-22,8.62,8.99,8.96,8.46,1360559.25,0.34,3.94,8.646,8.564,8.379,1348497.53,1171215.55,862445.97,4
2018-06-21,8.38,8.86,8.62,8.37,1451850.5,0.21,2.5,8.578,8.488,8.343,1238819.89,1079076.75,830353.52,3
2018-06-20,8.47,8.57,8.4,8.21,1010835.38,-0.22,-2.55,8.588,8.45,8.332,1143972.24,993663.81,791270.23,2
2018-06-19,8.49,8.7,8.62,8.38,2068071.75,-0.01,-0.12,8.65,8.427,8.342,1370002.56,954662.08,773707.67,1
2018-06-15,8.66,8.68,8.63,8.43,851170.75,0.01,0.12,8.574,8.381,8.346,1058765.66,801427.11,713790.56,4
2018-06-14,8.62,8.72,8.62,8.49,812171.06,-0.06,-0.69,8.482000000000001,8.329,8.35,993933.57,780742.85,703887.94,3
2018-06-13,8.73,8.75,8.67,8.58,977612.25,-0.04,-0.46,8.398,8.276,8.352,919333.61,763930.41,688880.31,2
2018-06-12,8.27,8.88,8.71,8.27,2140987.0,0.47,5.7,8.312000000000001,8.212,8.355,843355.39,737143.27,672925.89,1
2018-06-11,8.12,8.28,8.24,8.08,511887.25,0.08,0.98,8.204,8.177999999999999,8.361,539321.6,574597.45,626073.14,0
2018-06-08,8.18,8.23,8.17,8.05,527010.31,-0.03,-0.37,8.187999999999999,8.185,8.375,544088.56,556317.78,624350.49,4
2018-06-07,8.24,8.31,8.2,8.18,439171.25,-0.03,-0.36,8.176,8.193999999999999,8.392999999999999,567552.12,553676.39,635437.43,3
2018-06-06,8.15,8.29,8.24,8.11,597721.12,0.06,0.73,8.154,8.197000000000001,8.419,608527.21,581630.3,638945.25,2
2018-06-05,8.16,8.26,8.17,8.04,620818.06,0.01,0.12,8.112,8.214,8.446,630931.16,588876.65,643867.7,1
2018-06-04,8.12,8.19,8.16,8.07,535722.06,0.04,0.49,8.152000000000001,8.257,8.475,609873.3,592753.26,660586.03,0
2018-06-01,8.05,8.27,8.11,7.92,644328.12,0.02,0.25,8.182,8.31,8.499,568547.0,626154.02,676720.43,4
2018-05-31,8.06,8.11,8.09,7.95,644046.69,0.07,0.87,8.212,8.371,8.52,539800.66,627033.04,677251.31,3
2018-05-30,8.3,8.3,8.03,7.95,709740.88,-0.33,-3.95,8.24,8.427999999999999,8.551,554733.38,613830.2,685156.48,2
2018-05-29,8.29,8.44,8.37,8.26,515528.75,0.07,0.84,8.316,8.498,8.576,546822.14,608708.51,686025.12,1
2018-05-28,8.27,8.33,8.31,8.2,329090.56,0.04,0.48,8.362,8.543,8.593,575633.22,677548.84,694069.31,0
2018-05-25,8.22,8.29,8.26,8.13,500596.41,0.03,0.36,8.437999999999999,8.565,8.61,683761.03,692383.19,732559.12,4
2018-05-24,8.41,8.45,8.23,8.22,718710.31,-0.18,-2.14,8.53,8.592,8.63,714265.42,717198.47,734617.77,3
2018-05-23,8.6,8.6,8.41,8.4,670184.69,-0.18,-2.1,8.616,8.64,8.646,672927.02,696260.2,770083.97,2
2018-05-22,8.67,8.67,8.6,8.5,659584.12,-0.08,-0.92,8.68,8.677,8.648,670594.88,698858.75,766971.49,1
