date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,weekday
2018-06-26,5.51,5.51,5.42,5.36,2013273.0,-0.12,-2.17,5.6,5.622999999999999,5.642,1547869.3,1920397.75,1849779.91,1
2018-06-25,5.69,5.71,5.54,5.52,1716885.0,-0.13,-2.29,5.662000000000001,5.638999999999999,5.659,2092534.5,1841945.63,1817920.23,0
2018-06-22,5.65,5.68,5.66,5.63,1249003.88,-0.02,-0.35,5.696000000000001,5.644,5.671,2307914.3,1872202.69,1821990.36,4
2018-06-21,5.69,5.73,5.68,5.66,1394836.75,-0.01,-0.18,5.686,5.647,5.6770000000000005,2338803.48,1910775.84,1878297.4,3
2018-06-20,5.7,5.72,5.7,5.65,1365347.88,-0.04,-0.7,5.664,5.644,5.686,2332635.78,1899293.85,1935137.62,2
2018-06-19,5.66,5.76,5.73,5.61,4736599.0,0.03,0.53,5.646,5.645,5.699,2292926.2,1909631.36,1959442.02,1
2018-06-15,5.61,5.73,5.71,5.6,2793784.0,0.09,1.6,5.6160000000000005,5.642,5.715,1591356.75,1640105.55,1829316.1,4
2018-06-14,5.54,5.65,5.61,5.54,1403449.75,0.03,0.54,5.5920000000000005,5.636,5.732,1436491.07,1535763.34,1761746.26,3
2018-06-13,5.58,5.59,5.57,5.53,1363998.25,-0.03,-0.54,5.608,5.642,5.75,1482748.2,1584616.7,1761619.95,2
2018-06-12,5.58,5.61,5.61,5.55,1166800.0,0.03,0.54,5.624,5.648,5.771,1465951.93,1594356.98,1773523.23,1
2018-06-11,5.57,5.6,5.58,5.52,1228751.75,0.0,0.0,5.644,5.6610000000000005,5.795,1526336.53,1779162.08,1817376.57,0
2018-06-08,5.67,5.68,5.59,5.57,2019455.62,-0.1,-1.76,5.667999999999999,5.678999999999999,5.819,1688854.35,1793894.83,1880877.5,4
2018-06-07,5.67,5.72,5.69,5.65,1634735.38,0.04,0.71,5.68,5.6979999999999995,5.843,1635035.6,1771778.04,1919294.22,3
2018-06-06,5.69,5.69,5.65,5.65,1280016.88,-0.05,-0.88,5.676,5.706,5.859,1686485.2,1845818.95,1913828.85,2
2018-06-05,5.71,5.73,5.71,5.66,1468723.0,0.01,0.17,5.672000000000001,5.727,5.875,1722762.03,1970981.39,1922886.6,1
2018-06-04,5.66,5.72,5.7,5.64,2041340.88,0.06,1.06,5.678,5.752999999999999,5.888999999999999,2031987.63,2009252.68,2010871.44,0
2018-06-01,5.64,5.7,5.65,5.61,1750361.88,-0.01,-0.18,5.69,5.787000000000001,5.902,1898935.3,2018526.64,2004646.99,4
2018-05-31,5.66,5.68,5.67,5.61,1891983.38,0.04,0.71,5.716,5.827999999999999,5.914,1908520.48,1987729.19,1982927.37,3
2018-05-30,5.65,5.7,5.63,5.62,1461401.0,-0.11,-1.92,5.736000000000001,5.857,5.928,2005152.7,1938623.19,1963210.99,2
2018-05-29,5.75,5.76,5.74,5.62,3014851.0,-0.02,-0.35,5.782,5.893,5.946000000000001,2219200.75,1952689.48,1976055.21,1
2018-05-28,5.76,5.79,5.76,5.73,1376079.25,-0.02,-0.35,5.827999999999999,5.928,5.959,1986517.73,1855591.07,1935183.48,0
2018-05-25,5.76,5.8,5.78,5.74,1798287.75,0.01,0.17,5.8839999999999995,5.959,5.968999999999999,2138117.98,1967860.17,1969080.36,4
2018-05-24,5.86,5.88,5.77,5.76,2375144.5,-0.08,-1.37,5.94,5.9879999999999995,5.98,2066937.9,2066810.39,1983425.08,3
2018-05-23,5.95,5.96,5.86,5.85,2531641.25,-0.11,-1.84,5.978,6.011,5.995,1872093.68,1981838.75,2131818.73,2
2018-05-22,6.01,6.02,5.97,5.94,1851435.88,-0.06,-0.99,6.004,6.023,6.002999999999999,1686178.2,1874791.82,2124227.23,1
2018-05-21,6.08,6.08,6.04,5.99,2134080.5,-0.01,-0.17,6.028,6.025,6.0,1724664.4,2012490.2,2127628.61,0
2018-05-18,5.95,6.06,6.06,5.93,1442387.38,0.09,1.51,6.034,6.016,5.994,1797602.35,1990767.34,2128108.83,4
2018-05-17,6.01,6.01,5.96,5.94,1400923.38,-0.04,-0.67,6.0360000000000005,6.0,5.985,2066682.88,1978125.55,2212564.05,3
2018-05-16,6.07,6.07,5.99,5.98,1602063.88,-0.1,-1.64,6.044,5.999,5.977,2091583.83,1987798.79,2241320.85,2
2018-05-15,6.08,6.14,6.09,6.05,2043866.88,0.02,0.33,6.042000000000001,5.999,5.968,2063405.43,1999420.95,2357520.66,1
2018-05-14,6.09,6.15,6.07,6.03,2498770.25,0.0,0.0,6.022,5.99,5.965,2300316.0,2014775.89,2341155.36,0
2018-05-11,6.01,6.1,6.07,5.99,2787790.0,0.07,1.17,5.997999999999999,5.978,5.966,2183932.33,1970300.56,2319953.18,4
