date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,weekday
2018-11-08,41.29,41.43,40.63,40.5,264456.53,-0.15,-0.37,40.77,39.241,40.564,407003.2,485254.98,382743.06,3
2018-11-07,40.18,41.28,40.78,39.72,348613.19,0.6,1.49,40.368,39.212,40.593,453668.46,485175.36,386400.01,2
2018-11-06,40.8,41.1,40.18,39.94,334237.66,-1.1,-2.67,39.62,39.234,40.64,479675.6,473984.49,379706.07,1
2018-11-05,40.81,41.36,41.28,40.63,341637.75,0.3,0.73,38.85,39.444,40.759,544009.69,465053.72,381597.53,0
2018-11-02,40.91,41.6,40.98,39.99,746070.88,2.36,6.11,37.848,39.489,40.78,671926.61,453186.37,379505.33,4
2018-11-01,37.86,39.32,38.62,37.8,497782.81,1.58,4.27,37.712,39.551,40.787,563506.77,417717.67,357993.15,3
2018-10-31,35.86,37.08,37.04,35.56,478648.88,0.71,1.95,38.056,39.869,40.972,516682.27,393894.84,349212.56,2
2018-10-30,34.1,36.77,36.33,34.1,655908.12,0.06,0.17,38.848,40.416,41.221,468293.38,370076.81,346013.09,1
2018-10-29,37.1,37.88,36.27,36.27,981222.38,-4.03,-10.0,40.038,41.114,41.587,386097.75,337660.23,327680.77,0
2018-09-07,40.55,41.2,40.3,39.96,203971.64,-0.04,-0.1,41.13,41.778,42.003,234446.12,277570.81,289898.09,4
2018-09-06,40.85,41.42,40.34,40.27,263660.31,-0.66,-1.61,41.39,41.886,42.237,271928.56,280231.14,293700.21,3
2018-09-05,41.86,42.0,41.0,41.0,236704.44,-1.28,-3.03,41.682,41.974,42.477,271107.41,287624.65,298541.81,2
2018-09-04,42.0,42.48,42.28,41.15,244930.0,0.55,1.32,41.984,42.045,42.634,271860.24,285427.64,308641.45,1
2018-09-03,41.49,41.85,41.73,40.89,222964.23,0.13,0.31,42.19,42.073,42.753,289222.71,298141.35,321330.37,0
2018-08-31,41.8,41.82,41.6,40.6,391383.84,-0.2,-0.48,42.426,42.07,42.782,320695.49,305824.29,335486.46,4
2018-08-30,42.44,42.89,41.8,41.74,259554.52,-0.71,-1.67,42.382,42.022,42.796,288533.71,298268.63,350968.09,3
2018-08-29,43.0,43.26,42.51,42.25,240468.59,-0.8,-1.85,42.266,42.074,42.91,304141.9,304530.28,371026.53,2
2018-08-28,43.18,43.9,43.31,42.91,331742.38,0.4,0.93,42.106,42.025,43.098,298995.05,321949.37,375133.73,1
2018-08-27,41.85,42.96,42.91,41.7,380328.12,1.53,3.7,41.956,42.059,43.313,307059.98,317701.31,372539.11,0
2018-08-24,41.0,41.77,41.38,40.86,230574.95,0.16,0.39,41.714,42.227,43.541,290953.08,302225.37,366752.98,4
2018-08-23,41.4,42.05,41.22,40.59,337595.44,-0.49,-1.18,41.662,42.587,43.831,308003.55,307169.29,368849.02,3
2018-08-22,42.3,42.5,41.71,41.51,214734.36,-0.85,-2.0,41.882,42.979,44.162,304918.66,309458.97,373827.83,2
2018-08-21,42.0,42.84,42.56,41.57,372067.03,0.86,2.06,41.944,43.223,44.461,344903.69,331855.26,382901.55,1
2018-08-20,41.12,41.7,41.7,40.51,299793.62,0.58,1.41,42.162,43.433,44.752,328342.63,344519.4,400266.25,0
2018-08-17,42.64,42.92,41.12,41.02,315827.28,-1.2,-2.84,42.74,43.493,44.996,313497.65,365148.64,403147.06,4
2018-08-16,41.17,42.9,42.32,41.07,322171.03,0.3,0.71,43.512,43.569,45.268,306335.03,403667.56,412385.84,3
2018-08-15,43.59,43.59,42.02,41.89,414659.47,-1.63,-3.73,44.076,43.745,45.47,313999.28,437522.78,408969.87,2
2018-08-14,44.67,44.67,43.65,43.45,289261.75,-0.94,-2.11,44.502,44.171,45.664,318806.83,428318.1,405380.54,1
2018-08-13,44.6,44.85,44.59,43.8,225568.72,-0.39,-0.87,44.704,44.567,45.805,360696.16,427376.91,410721.83,0
2018-08-10,45.0,45.73,44.98,44.77,280014.16,-0.16,-0.35,44.246,44.854,45.944,416799.62,431280.59,416181.92,4
2018-08-09,44.06,45.81,45.14,43.5,360492.31,0.99,2.24,43.626,45.075,46.087,501000.09,430528.74,418381.42,3
2018-08-08,44.89,44.89,44.15,43.92,438697.19,-0.51,-1.14,43.414,45.345,46.222,561046.28,438196.69,421956.85,2
2018-08-07,42.94,44.74,44.66,42.5,498708.44,2.36,5.58,43.84,45.698,46.374,537829.38,433947.85,418179.28,1
2018-08-06,42.01,42.97,42.3,41.8,506086.0,0.42,1.0,44.43,46.07,46.566,494057.66,456013.1,414462.76,0
2018-08-03,43.99,44.0,41.88,41.41,701016.5,-2.2,-4.99,45.462,46.498,46.904,445761.56,441145.49,407450.54,4
2018-08-02,46.1,46.1,44.08,43.88,660723.25,-2.2,-4.75,46.524,46.967,47.18,360057.4,421104.13,396693.46,3
2018-08-01,47.9,48.1,46.28,46.2,322612.69,-1.33,-2.79,47.276,47.194,47.278,315347.1,380416.96,395547.12,2
2018-07-31,47.25,47.75,47.61,47.01,279849.84,0.15,0.32,47.556,47.156,47.22,330066.32,382442.97,409228.04,1
2018-07-30,47.4,47.68,47.46,47.0,264605.53,0.27,0.57,47.71,47.042,47.227,417968.54,394066.75,434300.07,0
2018-07-27,48.13,48.13,47.19,47.12,272495.69,-0.65,-1.36,47.534,47.034,47.288,436529.42,401083.24,449655.38,4
2018-07-26,47.8,48.46,47.84,47.67,437171.75,0.16,0.34,47.41,47.099,47.54,482150.86,406234.1,450595.8,3
2018-07-25,48.64,48.65,47.68,47.55,396208.81,-0.7,-1.45,47.112,47.098,47.653,445486.81,405717.02,446789.0,2
2018-07-24,47.0,48.56,48.38,47.0,719360.94,1.8,3.86,46.756,47.05,47.793,434819.62,402410.71,448304.37,1
2018-07-23,46.38,46.59,46.58,45.69,357409.91,0.01,0.02,46.374,47.062,47.99,370164.95,372912.42,427474.17,0
2018-07-20,46.25,46.9,46.57,45.23,500602.91,0.22,0.47,46.534,47.309,48.306,365637.06,373755.58,423206.96,4
2018-07-19,46.31,46.6,46.35,45.75,253851.5,0.45,0.98,46.788,47.392,48.66,330317.34,372282.79,416105.73,3
2018-07-18,46.7,47.12,45.9,45.88,342872.84,-0.57,-1.23,47.084,47.362,49.054,365947.22,410677.29,418785.56,2
